X: -0.000799, Y: -0.000666, Z: 0.000266
X: -0.000266, Y: 0.000399, Z: -0.000133
X: 0.000266, Y: 0.000399, Z: -0.000133
X: 0.000399, Y: 0.000666, Z: 0.000133
X: 0.000399, Y: 0.000666, Z: 0.000133
X: 0.001065, Y: 0.002131, Z: -0.000399
X: 0.000399, Y: 0.000666, Z: 0.000133
X: 0.0, Y: 0.000266, Z: -0.000133
X: 0.0, Y: 0.000399, Z: -0.000133
X: 0.0, Y: 0.001065, Z: -0.000133
X: 0.0, Y: 0.001065, Z: -0.000133
X: -0.000399, Y: -0.000399, Z: 0.000133
X: 0.0, Y: 0.000266, Z: -0.000133
X: 0.0, Y: 0.000666, Z: 0.000133
X: 0.0, Y: 0.000666, Z: 0.000133
X: -0.000666, Y: 0.0, Z: -0.000133
X: -0.086952, Y: -0.077498, Z: 0.346477
X: -0.113184, Y: -0.037551, Z: 0.071639
X: 0.092145, Y: 0.023569, Z: 0.065114
X: 0.07377, Y: -0.036752, Z: 0.014914
X: -0.032224, Y: 0.036618, Z: 0.063916
X: 0.01012, Y: 0.017311, Z: -0.017444
X: -0.013848, Y: 0.045007, Z: 0.027431
X: 0.008123, Y: -0.022504, Z: 0.000666
X: 0.029827, Y: -0.003462, Z: -0.015846
X: 0.029827, Y: -0.003462, Z: -0.015846
X: 0.026632, Y: 0.005326, Z: 0.005593
X: -0.001065, Y: -0.002663, Z: -0.005726
X: 0.311323, Y: 0.15939, Z: -1.911349
X: -0.53676, Y: -0.784567, Z: 0.262188
X: 0.29388, Y: -0.463523, Z: -0.303068
X: 0.176567, Y: -0.137153, Z: -0.13196
X: -0.031425, Y: -0.10413, Z: 0.046472
X: -0.391218, Y: 0.105861, Z: 0.225037
X: -0.676309, Y: 1.125185, Z: 0.833702
X: -0.836365, Y: 0.80454, Z: 0.740758
X: -0.136221, Y: 0.343681, Z: 0.300671
X: -0.072571, Y: -0.002929, Z: 0.082691
X: -0.094143, Y: 0.030493, Z: 0.110388
X: 1.453419, Y: 0.28376, Z: -1.218528
X: 2.716289, Y: -0.036352, Z: -1.763544
X: 1.476322, Y: 0.329033, Z: -0.633699
X: 0.386957, Y: -0.001465, Z: -0.189217
X: 0.124769, Y: -0.033423, Z: -0.164184
X: 0.198272, Y: 0.016778, Z: -0.094675
X: -0.125834, Y: -0.042211, Z: 0.070973
X: -0.472178, Y: -0.676309, Z: 0.459661
X: -0.472178, Y: -0.676309, Z: 0.459661
X: -0.981907, Y: -1.709482, Z: 1.409477
X: -0.425706, Y: -0.616521, Z: 0.799747
X: 0.000266, Y: -0.0, Z: -0.000399
X: -0.004128, Y: -0.012251, Z: 0.000533
X: 0.001332, Y: 0.003862, Z: 0.000266
X: -0.000133, Y: 0.000266, Z: 0.000266
